pos,angle,q_0,q_1
0.04,0.02,-0.12654340267181396,0.09633202105760574
0.03,0.02,-0.14236009120941162,0.11429691314697266
0.04,0.02,-0.15486939251422882,0.1279601752758026
0.04,0.0,-0.16687802970409393,0.13784730434417725
0.06,-0.01,-0.17040285468101501,0.1515733003616333
0.07,-0.04,-0.1823066771030426,0.1669086366891861
0.09,-0.07,-0.19772778451442719,0.18355675041675568
0.11,-0.1,-0.21041063964366913,0.20183756947517395
0.14,-0.14,-0.2026943564414978,0.18266603350639343
0.16,-0.18,-0.19223985075950623,0.1654975414276123
0.04,-0.02,-0.11878364533185959,0.12379276752471924
0.04,-0.02,-0.11772631108760834,0.1725481003522873
0.04,-0.03,-0.09972074627876282,0.23164820671081543
0.05,-0.04,-0.06650000810623169,0.30960750579833984
0.06,-0.06,-0.013826198875904083,0.40731751918792725
0.08,-0.08,0.04892014339566231,0.5203316807746887
0.1,-0.11,0.12465614080429077,0.6504429578781128
0.12,-0.15,0.1262868493795395,0.6603093147277832
0.14,-0.18,0.22174055874347687,0.8114054203033447
-0.05,0.02,-0.0026437491178512573,0.45061975717544556
-0.05,0.02,0.016209518536925316,0.5182027220726013
-0.04,0.01,0.06526264548301697,0.6259425282478333
-0.04,0.0,0.15296505391597748,0.7723875045776367
-0.03,-0.02,0.28199446201324463,0.9446468949317932
-0.01,-0.04,0.4303920269012451,1.1350170373916626
0.01,-0.07,0.6112891435623169,1.354498028755188
0.03,-0.1,0.806972324848175,1.6085796356201172
0.06,-0.14,1.0174187421798706,1.8959293365478516
0.09,-0.19,1.2563267946243286,2.231522560119629
0.01,0.05,0.21575874090194702,0.9757547378540039
0.01,0.05,0.2741084396839142,1.0880111455917358
0.01,0.05,0.3720446527004242,1.251568078994751
0.02,0.04,0.5475307703018188,1.4975965023040771
0.03,0.02,0.43942686915397644,1.4004547595977783
0.04,0.01,0.6396543979644775,1.6761319637298584
0.05,-0.0,0.8992890119552612,2.02482271194458
0.07,-0.03,1.1971397399902344,2.404855966567993
0.09,-0.05,1.5352250337600708,2.8227059841156006
0.11,-0.09,1.9018032550811768,3.302645683288574
0.14,-0.12,2.302955150604248,3.8464324474334717
0.17,-0.17,2.7284390926361084,4.459992408752441
0.02,0.02,0.6881241798400879,1.9359934329986572
0.02,0.02,0.8084618449211121,2.1327414512634277
0.02,0.01,1.015029788017273,2.411881446838379
0.03,0.0,1.3527342081069946,2.8906033039093018
0.04,-0.02,1.7354029417037964,3.447941541671753
0.06,-0.04,2.1333630084991455,4.058990001678467
0.08,-0.07,2.5550079345703125,4.735348701477051
0.1,-0.1,2.3300344944000244,4.507187843322754
0.12,-0.13,2.0895206928253174,4.251162052154541
0.14,-0.16,2.5690391063690186,5.0464701652526855
0.16,-0.19,3.1109070777893066,5.903188228607178
-0.04,0.0,1.2469106912612915,3.2094430923461914
-0.04,0.0,1.454837441444397,3.5454461574554443
-0.03,-0.0,1.763647198677063,4.018774032592773
-0.02,-0.02,2.24145770072937,4.767334938049316
-0.01,-0.03,1.94710111618042,4.337006568908691
-0.0,-0.05,2.476789712905884,5.154191017150879
0.01,-0.06,3.066972017288208,6.13251256942749
0.03,-0.09,3.717647075653076,7.199804306030273
0.05,-0.12,4.379945278167725,8.362263679504395
0.07,-0.16,5.0524516105651855,9.65628433227539
0.1,-0.2,5.7703657150268555,11.105527877807617
