pos,angle,q_0,q_1
0.42,-0.12,10.25313949584961,10.129335403442383
0.42,-0.12,10.34682846069336,10.499960899353027
0.41,-0.11,10.388012886047363,10.125391960144043
0.41,-0.11,10.497690200805664,10.596943855285645
0.4,-0.11,10.526151657104492,10.119577407836914
0.4,-0.11,10.640254974365234,10.67969799041748
0.39,-0.11,10.651893615722656,10.010808944702148
0.39,-0.11,10.75989055633545,10.605484962463379
0.38,-0.11,10.80105972290039,10.878262519836426
0.37,-0.1,10.882072448730469,10.653851509094238
0.37,-0.1,10.894211769104004,10.9307279586792
0.36,-0.1,10.976739883422852,10.667133331298828
0.35,-0.1,10.993877410888672,11.00066089630127
0.34,-0.1,11.036443710327148,10.627915382385254
0.33,-0.1,11.058252334594727,11.029667854309082
0.32,-0.1,10.996857643127441,11.019905090332031
0.31,-0.09,10.806194305419922,10.875240325927734
0.29,-0.08,10.997867584228516,10.990276336669922
0.27,-0.07,10.80645751953125,10.850839614868164
0.26,-0.06,10.977359771728516,10.949592590332031
0.24,-0.05,10.773811340332031,10.80160140991211
0.22,-0.04,10.928521156311035,10.881689071655273
0.21,-0.04,10.708207130432129,10.71523666381836
0.19,-0.03,10.841530799865723,10.780162811279297
0.18,-0.02,10.607240676879883,10.614378929138184
0.16,-0.01,10.73593807220459,10.69476318359375
0.14,-0.01,10.504815101623535,10.544910430908203
0.13,0.0,10.622429847717285,10.620647430419922
0.11,0.01,10.380280494689941,10.472911834716797
0.09,0.02,10.493463516235352,10.542105674743652
0.08,0.02,10.577922821044922,10.592896461486816
0.07,0.02,10.597071647644043,10.60056209564209
0.06,0.01,10.60639762878418,10.559110641479492
0.06,-0.0,10.561153411865234,10.569380760192871
0.05,-0.01,10.607369422912598,10.478803634643555
0.05,-0.02,10.51059627532959,10.475775718688965
0.04,-0.03,10.438941955566406,10.398130416870117
0.03,-0.03,10.311025619506836,10.2983980178833
0.02,-0.03,10.094511032104492,10.133951187133789
0.0,-0.02,10.228066444396973,10.210460662841797
-0.01,-0.01,10.017189025878906,10.071542739868164
-0.03,-0.0,10.168388366699219,10.17245101928711
-0.05,0.0,10.25974178314209,10.22353744506836
-0.06,-0.0,10.306465148925781,10.279117584228516
-0.06,-0.01,10.266922950744629,10.2747220993042
-0.07,-0.01,10.323163986206055,10.33513355255127
-0.08,-0.02,10.29658031463623,10.33562183380127
-0.09,-0.02,10.360387802124023,10.397268295288086
-0.1,-0.03,10.471833229064941,10.184289932250977
-0.1,-0.05,10.404610633850098,10.425882339477539
-0.11,-0.05,10.580101013183594,9.922791481018066
-0.11,-0.07,10.508930206298828,10.301861763000488
-0.11,-0.08,10.50838565826416,10.549220085144043
-0.12,-0.08,10.650406837463379,10.144914627075195
-0.13,-0.09,10.618833541870117,10.556154251098633
-0.14,-0.1,10.595029830932617,10.698527336120605
-0.16,-0.1,10.742910385131836,10.493584632873535
-0.17,-0.1,10.692475318908691,8.908952713012695
-0.17,-0.12,10.822336196899414,9.782082557678223
-0.18,-0.13,10.872882843017578,10.556689262390137
-0.2,-0.13,10.815783500671387,10.926912307739258
-0.21,-0.13,10.97015380859375,10.251769065856934
-0.23,-0.13,10.956328392028809,10.810628890991211
-0.25,-0.13,10.965070724487305,11.075425148010254
-0.27,-0.12,11.049818992614746,10.656258583068848
-0.28,-0.12,10.996475219726562,11.057876586914062
-0.31,-0.12,11.097271919250488,10.415380477905273
-0.32,-0.12,11.040512084960938,10.871949195861816
-0.35,-0.12,10.949841499328613,9.942009925842285
-0.36,-0.12,10.835180282592773,10.470721244812012
-0.38,-0.12,10.628538131713867,10.798054695129395
