pos,angle,q_0,q_1
0.04,0.02,0.07004383206367493,0.003017611801624298
0.03,0.02,0.05102715641260147,0.015305161476135254
0.04,0.02,0.07120336592197418,0.002758987247943878
0.04,0.02,0.08018770068883896,-0.017967522144317627
0.03,0.02,0.07511643320322037,-0.037598080933094025
0.02,0.03,0.050280217081308365,-0.06978684663772583
0.01,0.05,0.0160787682980299,-0.10148325562477112
-0.01,0.07,-0.01363956555724144,-0.13019268214702606
-0.03,0.1,-0.04057095944881439,-0.16321930289268494
-0.05,0.14,-0.0624082088470459,-0.19325265288352966
-0.08,0.18,-0.028864163905382156,-0.21845096349716187
0.04,-0.02,0.10918833315372467,0.01621018350124359
0.04,-0.02,0.13539651036262512,0.0005586892366409302
0.03,-0.01,0.15941616892814636,-0.011495530605316162
0.02,-0.0,0.17085964977741241,0.010757282376289368
0.02,0.0,0.17611029744148254,0.03681392967700958
0.02,0.0,0.20594514906406403,0.021944794803857803
0.02,0.01,0.23365753889083862,0.013341061770915985
0.01,0.02,0.2692207992076874,0.0027722641825675964
-0.0,0.04,0.3077886700630188,-0.0003202185034751892
-0.02,0.06,0.3599834442138672,-0.002835586667060852
-0.04,0.09,0.4201219081878662,-0.0008735358715057373
-0.06,0.12,0.48924118280410767,0.007343940436840057
-0.09,0.16,0.5025162696838379,0.03353181481361389
-0.11,0.2,0.5839049220085144,0.05008893832564354
-0.05,0.02,0.34754303097724915,0.08264033496379852
-0.05,0.02,0.38634800910949707,0.07760816067457199
-0.05,0.02,0.43752044439315796,0.08705346286296844
-0.06,0.04,0.508776843547821,0.10095686465501785
-0.07,0.05,0.5931960344314575,0.11790358275175095
-0.09,0.08,0.6939266324043274,0.1410830020904541
-0.11,0.11,0.8074391484260559,0.17166030406951904
-0.13,0.15,0.7809985280036926,0.18774661421775818
-0.15,0.18,0.9101581573486328,0.22782057523727417
0.01,0.05,0.5111144781112671,0.15262368321418762
0.01,0.05,0.504229724407196,0.1759607046842575
0.01,0.05,0.5506220459938049,0.1716889590024948
0.01,0.05,0.6073703169822693,0.1826074868440628
0.01,0.06,0.5935455560684204,0.1925981491804123
0.01,0.06,0.657554030418396,0.2093455195426941
0.01,0.07,0.7574118971824646,0.2524375319480896
-0.0,0.08,0.7144485712051392,0.23957063257694244
-0.01,0.09,0.8296681046485901,0.2865719199180603
-0.01,0.11,0.7795681357383728,0.27333781123161316
-0.02,0.12,0.9136289954185486,0.32919636368751526
-0.03,0.13,0.8569930195808411,0.3139737844467163
-0.03,0.14,1.0132386684417725,0.3775961101055145
-0.04,0.16,1.2174739837646484,0.45698636770248413
-0.05,0.19,1.4451487064361572,0.5467365384101868
0.02,0.02,0.8154287338256836,0.30821001529693604
0.02,0.02,0.9051802158355713,0.33701249957084656
0.02,0.02,1.0339335203170776,0.3931942284107208
0.01,0.04,0.97183758020401,0.3675958812236786
0.0,0.04,0.9359713792800903,0.3609061539173126
0.0,0.04,1.040561556816101,0.39989224076271057
0.0,0.05,1.199113368988037,0.46916937828063965
-0.01,0.06,1.431740641593933,0.5545868277549744
-0.02,0.08,1.7088186740875244,0.6642758846282959
-0.03,0.11,2.0180745124816895,0.7987707853317261
-0.05,0.14,2.3448269367218018,0.9513527154922485
-0.08,0.17,2.6983230113983154,1.121445655822754
-0.04,0.0,1.1592382192611694,0.49193885922431946
-0.04,0.0,1.2820464372634888,0.5494911670684814
-0.04,0.01,1.465286135673523,0.6372382044792175
-0.05,0.02,1.7373309135437012,0.7601929306983948
-0.06,0.04,2.058513641357422,0.9116804599761963
-0.07,0.06,2.422278881072998,1.0996918678283691
-0.09,0.09,2.8120899200439453,1.3137261867523193
-0.12,0.12,3.23744797706604,1.5471019744873047
-0.14,0.17,3.699281692504883,1.8026134967803955
-0.0,0.04,1.4754360914230347,0.7110724449157715
-0.0,0.04,1.6416162252426147,0.7943784594535828
-0.0,0.05,1.8947340250015259,0.9238458871841431
-0.01,0.06,2.2550761699676514,1.1009933948516846
-0.02,0.08,2.686718225479126,1.320885419845581
-0.04,0.1,3.164245367050171,1.5786895751953125
-0.06,0.13,3.666961669921875,1.858374834060669
-0.08,0.17,4.197958469390869,2.1622869968414307
0.01,0.01,1.798102617263794,0.914090633392334
0.01,0.01,1.9926682710647583,1.013449788093567
0.0,0.01,2.283926486968994,1.171717882156372
-0.01,0.03,2.702763080596924,1.3938493728637695
