pos,angle,q_0,q_1
0.02,-0.02,12.566421508789062,12.572287559509277
0.02,-0.02,12.651697158813477,12.500321388244629
0.03,-0.02,12.547685623168945,12.519720077514648
0.03,-0.02,12.455629348754883,12.535983085632324
0.02,-0.01,12.543747901916504,12.533570289611816
0.02,-0.01,12.471445083618164,12.560359001159668
0.02,-0.01,12.574790954589844,12.568758964538574
0.02,-0.01,12.490897178649902,12.591690063476562
0.02,-0.0,12.587814331054688,12.602477073669434
0.02,-0.0,12.669312477111816,12.535120010375977
0.02,-0.01,12.608654022216797,12.600175857543945
0.02,-0.01,12.5154390335083,12.626660346984863
0.02,-0.0,12.590800285339355,12.622292518615723
0.02,-0.0,12.658720016479492,12.54763126373291
0.02,-0.01,12.620511054992676,12.628046989440918
0.02,-0.01,12.681737899780273,12.540871620178223
0.03,-0.02,12.662943840026855,12.635296821594238
0.03,-0.02,12.600992202758789,12.673221588134766
0.02,-0.01,12.677632331848145,12.66434097290039
0.02,-0.01,12.709969520568848,12.53454303741455
0.03,-0.02,12.709301948547363,12.646223068237305
0.03,-0.02,12.65678882598877,12.696016311645508
0.02,-0.01,12.714722633361816,12.660624504089355
0.02,-0.02,12.653414726257324,12.697707176208496
0.02,-0.01,12.707358360290527,12.655454635620117
0.02,-0.01,12.631817817687988,12.675272941589355
0.02,-0.01,12.698817253112793,12.637869834899902
0.02,-0.01,12.649151802062988,12.671635627746582
0.01,-0.0,12.717364311218262,12.635282516479492
0.01,-0.01,12.65667724609375,12.667922019958496
0.01,-0.0,12.67908763885498,12.620757102966309
0.01,-0.0,12.575174331665039,12.637921333312988
0.01,0.0,12.615913391113281,12.606549263000488
0.01,-0.0,12.514472961425781,12.629484176635742
0.0,0.0,12.572684288024902,12.606565475463867
0.0,0.0,12.58140754699707,12.465474128723145
0.01,-0.01,12.566397666931152,12.577454566955566
0.01,-0.01,12.580633163452148,12.41723346710205
0.01,-0.02,12.62098503112793,12.571228981018066
0.01,-0.02,12.606472969055176,12.64511775970459
0.01,-0.01,12.677664756774902,12.606053352355957
0.01,-0.01,12.655845642089844,12.679536819458008
0.01,-0.01,12.720294952392578,12.629973411560059
0.01,-0.01,12.735550880432129,12.435884475708008
0.01,-0.02,12.798384666442871,12.616495132446289
0.01,-0.02,12.797845840454102,12.702123641967773
0.01,-0.02,12.716226577758789,12.767006874084473
-0.0,-0.01,12.787120819091797,12.70919132232666
-0.0,-0.01,12.644828796386719,12.73436164855957
-0.01,0.0,12.754063606262207,12.703118324279785
-0.02,0.01,12.809967994689941,12.642602920532227
-0.01,0.0,12.751280784606934,12.68221378326416
-0.02,0.01,12.552446365356445,12.684335708618164
-0.03,0.01,12.694659233093262,12.695899963378906
-0.03,0.02,12.789318084716797,12.695528984069824
-0.03,0.02,12.66733455657959,12.704723358154297
-0.03,0.02,12.762703895568848,12.721007347106934
-0.03,0.02,12.642727851867676,12.739895820617676
-0.04,0.02,12.736833572387695,12.757791519165039
-0.04,0.02,12.764333724975586,12.659933090209961
-0.03,0.01,12.739731788635254,12.769129753112793
-0.03,0.01,12.76918888092041,12.652382850646973
-0.03,0.0,12.779866218566895,12.793231964111328
-0.03,-0.0,12.789433479309082,12.647077560424805
-0.02,-0.01,12.812172889709473,12.80652904510498
-0.02,-0.01,12.758490562438965,12.861059188842773
-0.03,-0.01,12.772489547729492,12.76455020904541
-0.03,-0.01,12.653484344482422,12.726149559020996
-0.03,-0.0,12.655949592590332,12.593977928161621
-0.03,-0.01,12.473018646240234,12.489389419555664
-0.03,-0.0,12.523536682128906,12.415132522583008
-0.03,-0.0,12.337015151977539,12.319469451904297
-0.04,-0.0,11.992849349975586,12.187780380249023
-0.04,0.01,12.157075881958008,12.201271057128906
-0.05,0.01,12.270671844482422,12.217232704162598
-0.05,0.01,12.026639938354492,12.113103866577148
-0.05,0.01,12.167593955993652,12.170219421386719
-0.05,0.01,11.921048164367676,12.082671165466309
-0.05,0.02,12.073217391967773,12.164392471313477
-0.05,0.01,12.173815727233887,12.142066955566406
-0.05,0.01,12.047359466552734,12.154121398925781
