pos,angle,q_0,q_1
0.04,0.02,1.0146090984344482,-0.01918015070259571
0.03,0.02,1.0515154600143433,-0.026606500148773193
0.03,0.03,1.083938717842102,-0.02987075038254261
0.02,0.04,1.1437128782272339,-0.03946942090988159
0.01,0.06,1.221754789352417,-0.0542106032371521
-0.01,0.08,1.3173229694366455,-0.06286440789699554
-0.03,0.11,1.428067684173584,-0.06279326975345612
-0.05,0.15,1.559962511062622,-0.06096535921096802
-0.08,0.19,1.0,-0.059450119733810425
0.04,-0.02,1.2514280080795288,0.00698307016864419
0.04,-0.02,0.30658474564552307,1.246086835861206
0.03,-0.01,0.29508891701698303,1.238653302192688
0.03,-0.02,0.282726526260376,1.2315750122070312
0.04,-0.02,1.2702745199203491,0.060064416378736496
0.04,-0.03,1.3165194988250732,0.08279192447662354
0.05,-0.04,1.373956561088562,0.08855712413787842
0.05,-0.04,1.4568301439285278,0.10525179654359818
0.04,-0.04,1.5647183656692505,0.12704287469387054
0.04,-0.03,1.7043472528457642,0.14625142514705658
0.03,-0.01,1.8672728538513184,0.1697692573070526
0.01,0.01,2.054914712905884,0.20401667058467865
-0.01,0.04,2.2714943885803223,0.24233630299568176
-0.03,0.07,2.521451473236084,0.2837136685848236
-0.06,0.11,2.807821750640869,0.33418533205986023
-0.09,0.16,3.1307783126831055,0.39354273676872253
-0.13,0.21,1.0,0.4596098065376282
-0.05,0.02,1.7248250246047974,0.22331146895885468
-0.05,0.02,1.8755838871002197,0.24160990118980408
-0.05,0.02,2.0667104721069336,0.27455776929855347
-0.06,0.04,1.2252548933029175,1.942152976989746
-0.07,0.05,2.1472530364990234,0.30635765194892883
-0.08,0.07,2.392836809158325,0.36339694261550903
-0.09,0.09,1.6009831428527832,2.248950242996216
-0.11,0.11,2.5168678760528564,0.4283519685268402
-0.12,0.13,2.817108154296875,0.5184286832809448
-0.14,0.16,3.15500545501709,0.6207742691040039
-0.16,0.19,1.0,0.7425956130027771
0.01,0.05,2.077284097671509,0.39101216197013855
0.01,0.05,2.2862789630889893,0.44178181886672974
0.01,0.06,2.5442607402801514,0.5250040292739868
-0.0,0.07,2.844940423965454,0.6246827244758606
-0.01,0.09,3.1798667907714844,0.734843909740448
-0.03,0.12,3.548302412033081,0.8537703156471252
-0.05,0.15,3.9653873443603516,0.9877626895904541
-0.07,0.19,1.0,1.1436275243759155
0.02,0.02,2.3433101177215576,0.51312655210495
0.02,0.02,2.562995433807373,0.5680350661277771
0.02,0.02,2.838256359100342,0.6548153758049011
0.01,0.04,3.1501452922821045,0.7667667269706726
-0.0,0.05,3.49867582321167,0.8848140835762024
-0.02,0.08,3.875117301940918,1.012934684753418
-0.04,0.11,4.288830280303955,1.1477689743041992
-0.06,0.14,4.750479221343994,1.2973729372024536
-0.09,0.19,1.0,1.4675183296203613
-0.04,0.0,2.6509768962860107,0.625531017780304
-0.04,0.0,2.8779332637786865,0.6848287582397461
-0.04,0.01,3.1665639877319336,0.7758375406265259
-0.05,0.02,3.4795191287994385,0.8916311860084534
-0.06,0.04,3.8345723152160645,1.007876992225647
-0.07,0.06,3.1932053565979004,3.56658935546875
-0.09,0.09,3.9459950923919678,1.0733445882797241
-0.11,0.11,4.347174167633057,1.252500295639038
-0.13,0.14,4.781255722045898,1.4377636909484863
-0.15,0.18,1.0,1.637665033340454
-0.0,0.04,2.9754722118377686,0.808353841304779
-0.0,0.04,3.2104341983795166,0.8909469842910767
-0.0,0.05,3.5199785232543945,1.0129410028457642
-0.01,0.06,3.8525655269622803,1.170168399810791
-0.02,0.08,4.228920936584473,1.3299940824508667
-0.04,0.1,4.620892524719238,1.512450098991394
-0.06,0.13,5.037245750427246,1.7048673629760742
-0.08,0.17,1.0,1.904063105583191
0.01,0.01,3.2633442878723145,0.9822376370429993
0.01,0.01,3.484952926635742,1.0624381303787231
0.0,0.01,3.7779171466827393,1.1828652620315552
-0.01,0.03,4.090917587280273,1.3329545259475708
-0.02,0.04,3.463348388671875,3.836759090423584
-0.03,0.07,4.164086818695068,1.397892713546753
-0.05,0.08,4.524047374725342,1.5859295129776
-0.06,0.11,3.9676895141601562,4.274508953094482
-0.08,0.14,4.652940273284912,1.7213093042373657
-0.1,0.17,5.065515518188477,1.9704080820083618
-0.12,0.2,1.0,2.245178461074829
-0.01,-0.03,3.572751045227051,1.308201551437378
-0.01,-0.03,3.7867889404296875,1.4157100915908813
-0.01,-0.02,4.076807498931885,1.5736675262451172
-0.02,-0.01,4.393787860870361,1.7802150249481201
-0.03,0.01,4.7286858558654785,1.9943549633026123
-0.05,0.03,4.184885501861572,4.468512058258057
-0.06,0.06,4.814174652099609,2.1052958965301514
-0.08,0.08,5.204939842224121,2.3666749000549316
-0.1,0.11,5.596839904785156,2.6620988845825195
-0.12,0.15,6.023146629333496,2.9615607261657715
-0.15,0.19,1.0,3.2840070724487305
-0.04,0.03,3.9749138355255127,1.7455360889434814
-0.04,0.03,4.171442985534668,1.857244849205017
-0.04,0.03,4.459196090698242,2.025533437728882
-0.05,0.05,4.7665510177612305,2.2598018646240234
-0.06,0.06,5.074204444885254,2.4987576007843018
-0.08,0.09,5.412257671356201,2.7387871742248535
-0.1,0.12,5.7452592849731445,3.0005910396575928
-0.12,0.15,6.0917816162109375,3.2627413272857666
-0.15,0.2,1.0,3.5356199741363525
0.04,-0.02,4.307469844818115,2.0428948402404785
0.04,-0.02,4.472236633300781,2.1473610401153564
0.03,-0.01,4.717435836791992,2.2937815189361572
0.02,-0.0,4.983818531036377,2.4997611045837402
0.01,0.02,5.239910125732422,2.711928606033325
-0.01,0.04,5.5215840339660645,2.919696807861328
-0.03,0.07,5.798460960388184,3.144441843032837
-0.05,0.1,6.070749759674072,3.368546724319458
-0.08,0.14,6.34646463394165,3.590651512145996
-0.11,0.19,1.0,3.8197133541107178
-0.0,-0.03,4.456519603729248,2.197227954864502
-0.0,-0.03,4.566764831542969,2.2604639530181885
-0.01,-0.02,3.964181900024414,4.473954200744629
-0.01,-0.01,4.578284740447998,2.3095932006835938
-0.02,-0.01,3.9908974170684814,4.511163711547852
-0.03,0.0,4.60961389541626,2.4033334255218506
-0.03,0.01,4.784078121185303,2.535991668701172
-0.04,0.02,4.995798587799072,2.7353155612945557
-0.05,0.03,4.46502161026001,4.823616981506348
-0.06,0.05,4.283951759338379,4.702055931091309
-0.07,0.07,4.875351905822754,2.7748734951019287
-0.08,0.08,5.0790934562683105,3.007176637649536
-0.09,0.1,5.271162033081055,3.2543399333953857
-0.11,0.12,5.431281089782715,3.4953951835632324
-0.13,0.15,5.602259159088135,3.7142999172210693
-0.15,0.19,1.0,3.940208673477173
-0.01,-0.04,4.99487829208374,3.1088712215423584
-0.01,-0.04,5.071398735046387,3.1932270526885986
-0.01,-0.04,5.224676609039307,3.325380325317383
-0.02,-0.02,5.398227691650391,3.52998948097229
-0.04,-0.01,5.557286262512207,3.7414839267730713
-0.05,0.02,5.704451560974121,3.9431846141815186
-0.07,0.04,5.808381080627441,4.135494232177734
-0.1,0.08,5.936631202697754,4.296754837036133
-0.12,0.12,5.525867938995361,5.790640354156494
-0.16,0.17,5.915481090545654,4.363940238952637
-0.18,0.21,1.0,4.574656009674072
-0.02,-0.03,5.209646224975586,3.504565954208374
-0.02,-0.03,5.243381500244141,3.560561418533325
-0.02,-0.02,5.346002578735352,3.6697676181793213
-0.03,-0.01,5.473211765289307,3.849946975708008
-0.04,0.01,5.571550369262695,4.044832706451416
-0.06,0.03,5.644328594207764,4.21951961517334
-0.08,0.06,5.688992977142334,4.375691890716553
-0.1,0.1,5.716114521026611,4.509480953216553
-0.13,0.14,5.8154401779174805,4.635073661804199
-0.16,0.19,1.0,4.819601058959961
-0.01,0.01,5.470748424530029,3.879241466522217
-0.01,0.01,5.448057174682617,3.8968894481658936
-0.02,0.02,5.508606910705566,3.960252285003662
-0.03,0.03,5.006072044372559,5.424204349517822
-0.04,0.05,5.479176998138428,3.989757776260376
-0.05,0.07,5.526113033294678,4.1481852531433105
-0.06,0.08,5.538236618041992,4.297158718109131
-0.08,0.11,5.057994842529297,5.469563007354736
-0.1,0.14,5.441336631774902,4.324902534484863
-0.11,0.17,5.4003400802612305,4.4331583976745605
-0.13,0.2,1.0,4.532966136932373
-0.01,-0.0,5.6052350997924805,4.220702648162842
