pos,angle,q_0,q_1
0.13,0.16,5.572006702423096,5.976904392242432
0.15,0.16,5.6203932762146,5.816529273986816
0.17,0.15,5.447500705718994,5.553071022033691
0.2,0.14,5.929650783538818,3.455487012863159
0.23,0.12,6.03585958480835,4.736494064331055
0.25,0.11,5.755480766296387,6.086708068847656
0.27,0.11,5.821646213531494,5.9940972328186035
0.3,0.1,6.265071392059326,4.348536491394043
0.33,0.09,6.3506574630737305,5.419239521026611
0.35,0.08,6.026503562927246,6.485207557678223
0.37,0.08,6.522182941436768,5.7390923500061035
0.4,0.07,6.106586933135986,6.6891703605651855
0.42,0.07,6.6601457595825195,6.029792785644531
0.45,0.07,6.161593914031982,6.826553821563721
0.47,0.07,6.780058860778809,6.235452651977539
0.49,0.07,6.205398082733154,6.933754920959473
0.51,0.07,6.8819403648376465,6.407281875610352
0.54,0.06,6.2323174476623535,7.021354675292969
0.56,0.07,6.9709649085998535,6.558365345001221
0.59,0.06,6.243733882904053,7.084721565246582
0.61,0.07,7.036808967590332,6.690073490142822
0.63,0.07,6.23408842086792,7.125546455383301
0.65,0.07,7.078207015991211,6.801709175109863
0.68,0.07,6.197122097015381,7.129364013671875
0.7,0.07,7.099908828735352,6.885400772094727
0.72,0.07,6.132874965667725,7.09730863571167
0.75,0.08,6.909905910491943,7.323840141296387
0.77,0.08,7.147978782653809,6.580976963043213
0.8,0.08,6.8766937255859375,7.36120080947876
0.83,0.08,7.202088356018066,6.69276762008667
0.85,0.08,6.832839012145996,7.389869213104248
0.88,0.08,7.256993770599365,6.807217121124268
0.91,0.08,6.777328014373779,7.402568817138672
0.93,0.08,7.306921482086182,6.924384117126465
0.96,0.08,6.706544876098633,7.404315948486328
0.99,0.08,7.330938339233398,7.035884380340576
1.01,0.08,6.613389492034912,7.386721134185791
1.04,0.09,7.339078426361084,7.1347479820251465
1.07,0.09,6.494659423828125,7.339988708496094
1.09,0.1,7.1742024421691895,7.560012340545654
1.12,0.1,7.4198760986328125,6.9161529541015625
1.15,0.09,7.13720178604126,7.5806756019592285
1.18,0.1,7.497367858886719,7.054440021514893
1.22,0.1,7.083805084228516,7.59231424331665
1.24,0.1,7.5585808753967285,7.198020935058594
1.28,0.1,6.992383003234863,7.593594074249268
1.3,0.1,7.5904130935668945,7.332882404327393
1.34,0.1,6.880744934082031,7.5696916580200195
1.37,0.11,7.596034049987793,7.44545316696167
1.4,0.11,6.747452735900879,7.63877010345459
1.43,0.12,7.410111427307129,7.823948383331299
1.46,0.12,7.7349114418029785,7.981045722961426
1.49,0.12,7.9249982833862305,7.241309642791748
1.53,0.11,7.9884033203125,7.667945384979248
1.57,0.11,7.489582538604736,8.006112098693848
1.6,0.12,8.10512638092041,7.91447114944458
1.64,0.12,7.439019203186035,8.117066383361816
1.67,0.13,7.994998931884766,8.347073554992676
1.71,0.13,8.29218864440918,7.98675537109375
1.75,0.13,8.020723342895508,8.427220344543457
1.78,0.13,8.436800003051758,8.203277587890625
1.82,0.13,7.98575496673584,8.458904266357422
1.86,0.13,8.526269912719727,8.376702308654785
1.9,0.13,7.896203994750977,8.501408576965332
1.93,0.14,8.392797470092773,8.690481185913086
1.97,0.14,8.603813171386719,8.388381958007812
2.02,0.14,8.33597469329834,8.712011337280273
2.05,0.14,8.669172286987305,8.527422904968262
2.1,0.14,8.195915222167969,8.670909881591797
2.14,0.15,8.65973949432373,8.602569580078125
2.18,0.15,7.989518642425537,8.657767295837402
2.22,0.16,8.4817533493042,8.793946266174316
2.26,0.16,8.680394172668457,8.57614517211914
2.31,0.16,8.299823760986328,8.718524932861328
2.35,0.16,1.0,8.626006126403809
-0.05,0.02,10.628355979919434,10.807790756225586
-0.05,0.02,10.366827964782715,10.148600578308105
-0.04,0.01,10.561524391174316,9.737504005432129
-0.04,0.0,9.966113090515137,9.775737762451172
-0.03,-0.0,10.296879768371582,9.444608688354492
-0.02,-0.01,9.683751106262207,9.501065254211426
-0.02,-0.02,9.997932434082031,9.107250213623047
-0.01,-0.03,9.490333557128906,9.286375999450684
-0.01,-0.04,9.678264617919922,8.731017112731934
0.0,-0.05,9.36419677734375,9.118244171142578
0.01,-0.05,8.961179733276367,8.552796363830566
0.01,-0.07,8.97447395324707,6.935341835021973
0.03,-0.08,9.29686164855957,7.895711898803711
0.03,-0.1,9.43811321258545,8.72136402130127
0.04,-0.1,9.679862022399902,9.243816375732422
0.04,-0.11,9.446769714355469,9.435847282409668
0.04,-0.1,9.516288757324219,8.936050415039062
0.04,-0.11,9.476446151733398,9.397809028625488
0.03,-0.11,9.54865550994873,8.589408874511719
0.03,-0.11,9.624285697937012,9.029739379882812
0.03,-0.11,9.784225463867188,9.380560874938965
0.02,-0.11,9.710515975952148,9.64055347442627
0.01,-0.1,9.726454734802246,9.149242401123047
0.01,-0.09,9.857965469360352,9.526131629943848
-0.0,-0.08,9.667402267456055,9.727319717407227
-0.02,-0.07,9.74427604675293,9.357417106628418
-0.03,-0.06,9.695354461669922,9.727309226989746
-0.05,-0.05,9.718255043029785,9.638171195983887
-0.06,-0.04,9.74763298034668,8.732922554016113
-0.06,-0.04,9.741195678710938,9.185970306396484
-0.07,-0.03,9.640277862548828,9.599133491516113
-0.09,-0.02,9.172052383422852,9.660655975341797
-0.11,-0.0,9.597086906433105,9.579205513000488
-0.12,0.01,8.987833976745605,9.619331359863281
-0.14,0.03,9.476747512817383,9.676628112792969
-0.15,0.04,9.659077644348145,9.283574104309082
-0.17,0.05,9.313566207885742,9.64657211303711
-0.18,0.06,9.690208435058594,9.40795612335205
-0.19,0.07,9.076366424560547,9.56983470916748
-0.21,0.08,9.468498229980469,9.552350044250488
-0.22,0.09,9.657434463500977,9.180828094482422
-0.22,0.09,9.273696899414062,9.543886184692383
-0.23,0.1,9.740119934082031,9.37240982055664
-0.24,0.1,9.04539966583252,9.607269287109375
-0.25,0.11,9.427796363830566,9.468149185180664
-0.26,0.12,9.71674919128418,9.219773292541504
-0.26,0.12,9.897132873535156,9.6831636428833
-0.27,0.12,8.605534553527832,9.829991340637207
-0.28,0.13,9.00883960723877,9.682130813598633
