ang speed,angle,q_0,q_1
-0.03,0.02,-0.11566431820392609,1.0893768072128296
-0.32,0.02,-0.1329232156276703,1.125401258468628
-0.6,0.02,-0.14652733504772186,1.1623286008834839
-0.89,0.0,-0.15703490376472473,1.2012135982513428
-1.18,-0.01,1.2192832231521606,0.2590923607349396
-0.89,-0.04,-0.1413491666316986,1.2544114589691162
-1.2,-0.06,1.2630610466003418,0.30905547738075256
-0.92,-0.08,-0.10818255692720413,1.2980422973632812
-1.24,-0.1,1.3017785549163818,0.354912668466568
-0.98,-0.12,1.304105520248413,0.3537942171096802
-0.73,-0.14,-0.05925958976149559,1.3345297574996948
-1.06,-0.16,-0.008149929344654083,1.3811907768249512
-1.4,-0.18,0.05031594634056091,1.4466129541397095
-1.74,-0.21,0.1074543446302414,1.0
-0.01,-0.02,-0.013714566826820374,1.3688362836837769
-0.31,-0.02,1.382935881614685,0.43332284688949585
-0.02,-0.03,1.391552209854126,0.4462788701057434
0.26,-0.03,0.039460666477680206,1.417425513267517
-0.04,-0.02,0.0473988875746727,1.4431747198104858
-0.34,-0.02,0.0601663663983345,1.4827712774276733
-0.64,-0.03,0.08876340836286545,1.5486133098602295
-0.94,-0.04,1.530261754989624,0.6394861936569214
-0.66,-0.06,0.12250291556119919,1.601970911026001
-0.97,-0.07,0.19785597920417786,1.6963560581207275
-1.28,-0.09,1.6650017499923706,0.811927855014801
-1.02,-0.12,0.25248274207115173,1.7725590467453003
-1.35,-0.14,0.36862045526504517,1.911690354347229
-1.68,-0.17,1.8716527223587036,1.0688645839691162
-1.45,-0.2,0.45483171939849854,1.0
0.01,0.02,0.22528257966041565,1.7165846824645996
-0.27,0.02,0.2450569123029709,1.7763245105743408
-0.56,0.01,1.774656891822815,0.8980523943901062
-0.26,0.0,0.283603310585022,1.8377866744995117
-0.56,-0.0,1.8353270292282104,0.9677162170410156
-0.26,-0.02,0.3290998041629791,1.902472972869873
-0.56,-0.02,1.89790678024292,1.0412566661834717
-0.28,-0.03,0.38170209527015686,1.9710056781768799
-0.58,-0.04,0.45992186665534973,2.1040680408477783
-0.88,-0.05,0.5995765328407288,2.2749199867248535
-1.19,-0.07,0.786254346370697,2.495415210723877
-1.5,-0.09,0.9904203414916992,2.752903938293457
-1.82,-0.12,1.2103956937789917,3.0527944564819336
-2.15,-0.16,1.4474186897277832,3.3968722820281982
-2.49,-0.2,1.7004708051681519,1.0
0.05,0.05,0.5571130514144897,2.2743337154388428
-0.23,0.05,0.5958184003829956,2.3701703548431396
-0.5,0.05,0.6795074343681335,2.5299084186553955
-0.78,0.04,0.8125002384185791,2.7509422302246094
-1.06,0.02,1.0041450262069702,3.00675892829895
-1.35,-0.0,1.2142082452774048,3.3041155338287354
-1.64,-0.03,1.4391270875930786,3.6304869651794434
-1.94,-0.06,1.6761621236801147,3.9939112663269043
-2.26,-0.1,1.9285022020339966,4.39231014251709
-2.58,-0.14,2.192387580871582,4.846982479095459
-2.91,-0.2,2.477055549621582,1.0
-0.01,0.02,0.7394271492958069,2.7688727378845215
-0.3,0.02,2.7503042221069336,1.986878752708435
0.0,0.01,0.7770283222198486,2.808854103088379
-0.29,0.01,0.8386221528053284,2.935290813446045
-0.58,0.01,0.9568567276000977,3.1399617195129395
-0.87,-0.0,1.1259039640426636,3.4121408462524414
-1.16,-0.02,1.3464988470077515,3.708677053451538
-1.46,-0.05,1.5883796215057373,4.050015449523926
-1.77,-0.07,1.8502177000045776,4.410930156707764
-2.08,-0.11,4.188333511352539,3.8667218685150146
-1.83,-0.15,1.9768126010894775,4.586277008056641
-2.16,-0.19,2.3181238174438477,1.0
-0.02,0.0,1.0647236108779907,3.188201665878296
-0.31,0.0,1.135648250579834,3.3077361583709717
-0.6,-0.0,1.266513705253601,3.5188188552856445
-0.9,-0.02,1.4685192108154297,3.8070216178894043
-1.19,-0.03,1.7367819547653198,4.102212905883789
-1.5,-0.06,2.0227115154266357,4.468710899353027
-1.81,-0.09,4.205530643463135,3.9126782417297363
-1.54,-0.12,2.148388385772705,4.6024041175842285
-1.87,-0.15,2.528510332107544,5.021899223327637
-2.21,-0.19,2.928314685821533,1.0
-0.01,0.04,1.3883388042449951,3.5607097148895264
-0.29,0.04,1.463586449623108,3.674204111099243
-0.57,0.04,3.6101622581481934,2.995387554168701
-0.27,0.03,1.5359376668930054,3.7198526859283447
-0.55,0.02,1.697202205657959,3.9108705520629883
-0.84,0.01,1.9343101978302002,4.18471097946167
-1.13,-0.01,2.255932331085205,4.484309196472168
-1.42,-0.03,2.6009185314178467,4.830300331115723
-1.72,-0.06,2.9746458530426025,5.23163366317749
-2.03,-0.09,3.383734703063965,5.641726970672607
-2.35,-0.13,3.7995176315307617,6.081255912780762
-2.69,-0.18,4.234662055969238,1.0
-0.02,0.01,1.792043685913086,3.967730760574341
-0.31,0.01,1.8638101816177368,4.053243637084961
-0.6,0.0,2.012007713317871,4.2092061042785645
-0.89,-0.01,4.078010559082031,3.577625036239624
-0.6,-0.03,2.068995475769043,4.228445053100586
-0.9,-0.04,2.310889959335327,4.474502086639404
-1.2,-0.06,2.649627447128296,4.751291275024414
-1.51,-0.08,3.0170915126800537,5.039928913116455
-1.83,-0.11,3.3937671184539795,5.382241725921631
-2.15,-0.15,3.7999703884124756,5.753940582275391
-2.49,-0.19,1.0,5.350588321685791
0.01,-0.03,2.161830186843872,4.376300811767578
-0.29,-0.03,2.1982595920562744,4.462062835693359
-0.59,-0.03,2.3101871013641357,4.618198871612549
-0.89,-0.04,2.4934632778167725,4.880269527435303
-1.2,-0.06,2.759246587753296,5.179326057434082
-1.51,-0.09,4.982800006866455,4.705080986022949
-1.25,-0.12,2.7908339500427246,5.295662879943848
-1.57,-0.14,3.123276948928833,5.642612457275391
-1.91,-0.17,3.4709420204162598,1.0
-0.03,0.03,2.239534378051758,4.798229217529297
-0.31,0.03,4.84911584854126,4.240331649780273
